provider_id,npi,first_name,last_name,provider_type,specialty_code,specialty_name,license_number,credential_status,credential_expiry_date,address_line1,city,state,zip,phone,last_updated_date
P00001,1000000001,Danielle,Johnson,DO,DERM,Dermatology,LIC334053,ACTIVE,2026-10-09,32181 Johnson Course Apt. 389,New Jamesside,TX,55488,479.540.2654,2025-01-13
P00002,1000000002,Susan,Rogers,MD,DERM,Dermatology,LIC131244,ACTIVE,2027-03-09,1559 Roman Stream,Herrerafurt,FL,10829,+1-649-359-3103,2025-10-30
P00003,1000000003,Melissa,Delacruz,PA,CARD,Cardiology,LIC331148,ACTIVE,2026-07-23,7525 Clark Grove Apt. 928,East Steven,WA,35883,+1-783-550-3056x4139,2025-10-15
P00004,1000000004,Diana,Foster,PA,CARD,Cardiology,LIC456778,ACTIVE,2027-12-16,42388 Burgess Meadow Suite 532,Daviston,FL,14872,(626)291-6697,2025-03-23
P00005,1000000005,Erin,Wilson,PA,NEUR,Neurology,LIC201414,ACTIVE,2026-04-05,514 Moore Alley Suite 828,Port Colleenhaven,IL,80319,925.228.8095,2025-02-22
P00006,1000000006,Daniel,Cox,MD,ORTH,Orthopedics,LIC496922,ACTIVE,2027-04-16,03911 Cabrera Trace Apt. 278,West Allison,WA,80008,(738)234-6578x71331,2025-01-23
P00007,1000000007,Brianna,Hall,MD,NEUR,Neurology,LIC148050,ACTIVE,2026-07-16,10310 Jones Freeway,Elizabethborough,WA,71179,(399)873-7631,2025-10-23
P00008,1000000008,Michael,Jenkins,PA,DERM,Dermatology,LIC391476,ACTIVE,2026-04-14,106 Mcbride Coves,East James,IL,59301,(362)247-3178,2025-04-30
P00009,1000000009,Denise,Fernandez,DO,FAMP,Family Practice,LIC802729,ACTIVE,2026-12-30,32677 Michelle Circle,South Aaron,TX,51674,274-768-7234x309,2025-07-09
P00010,1000000010,Brian,Silva,DO,FAMP,Family Practice,LIC584714,ACTIVE,2026-09-08,81219 Emma Freeway,Wilsonshire,FL,32772,001-790-691-6998,2025-10-01
P00011,1000000011,James,Moran,MD,NEUR,Neurology,LIC944151,ACTIVE,2026-08-23,6247 Hickman Cliffs,South Christineshire,WA,13605,783-684-2513,2025-01-29
P00012,1000000012,Eric,Bass,NP,DERM,Dermatology,LIC322955,ACTIVE,2027-08-04,808 Huynh Cove Apt. 411,West Juan,AZ,28108,001-253-748-7401x640,2025-04-19
P00013,1000000013,Kellie,Walsh,DO,PSY,Psychiatry,LIC358607,ACTIVE,2026-09-29,78680 Charles Spurs Apt. 805,South David,WA,40905,(405)433-1586x923,2025-03-15
P00014,1000000014,Nicole,Johnson,NP,ONC,Oncology,LIC329974,PENDING,2027-02-13,3421 Brennan Walks Suite 337,Kevinbury,NY,29720,8367541458,2025-10-26
P00015,1000000015,Sheila,Wilson,MD,PSY,Psychiatry,LIC260265,ACTIVE,2026-02-18,94019 Reed Turnpike Suite 698,South Rachelborough,AZ,33887,7607883561,2025-02-16
P00016,1000000016,Elizabeth,Martinez,PA,DERM,Dermatology,LIC654816,ACTIVE,2027-01-26,465 Terry Plaza Apt. 366,New Ashley,CA,53726,+1-904-943-6995,2025-07-17
P00017,1000000017,Scott,Lewis,NP,DERM,Dermatology,LIC905934,ACTIVE,2027-07-04,214 Davis Terrace Apt. 433,North Brandon,TX,62778,+1-317-869-3676x320,2025-12-16
P00018,1000000018,Jeffery,Brock,PA,ORTH,Orthopedics,LIC103402,PENDING,2026-06-11,83172 Contreras Points Suite 798,Rivasside,WA,58947,(677)943-4873,2025-08-11
P00019,1000000019,Chris,Mitchell,NP,FAMP,Family Practice,LIC982554,ACTIVE,2026-04-19,5812 Jesse Square Apt. 316,Riveramouth,FL,54997,2367690967,2025-09-17
P00020,1000000020,Kenneth,Price,MD,FAMP,Family Practice,LIC728038,ACTIVE,2026-06-15,893 Robinson Mews Suite 065,Ramseymouth,CA,17229,+1-280-669-9016x272,2025-07-11
P00021,1000000021,Nicholas,Lewis,DO,DERM,Dermatology,LIC160738,ACTIVE,2026-11-11,6464 Thomas Summit Apt. 531,Port Anthonybury,TX,26631,9926327193,2025-07-05
P00022,1000000022,Katie,Jackson,DO,DERM,Dermatology,LIC234628,ACTIVE,2026-03-12,41904 Sanders Stravenue,North Brittany,NY,82714,814.791.9058,2025-09-06
P00023,1000000023,Casey,Holland,PA,ORTH,Orthopedics,LIC322086,INACTIVE,2027-09-14,7165 Zimmerman Mews,Lake Aimee,FL,85757,998-577-6945x314,2025-09-28
